,0,1,2,3,4
0,0.96,0.96,1.67285,12,2
1,0.96,0.98,2.09135,26,2
2,0.96,1.0,1.06639,26,6
3,0.96,1.02,1.95176,26,3
4,0.96,1.04,11.26269,26,2
5,0.98,0.96,1.54852,30,2
6,0.98,0.98,2.56878,14,2
7,0.98,1.0,1.63828,12,8
8,0.98,1.02,3.42881,28,3
9,0.98,1.04,16.19275,14,2
10,0.99,0.99,2.55772,18,2
11,0.99,1.0,1.97135,14,5
12,0.99,1.01,2.57876,18,6
13,0.99,1.02,3.77438,14,3
14,0.99,1.03,13.47105,14,2
15,0.99,1.04,22.10968,18,2
16,0.99,1.05,35.71629,14,3
17,0.99,1.06,37.36705,14,3
18,1.01,0.99,2.27007,20,2
19,1.01,1.0,3.28934,20,2
20,1.01,1.01,3.14123,20,6
21,1.01,1.02,5.30092,20,2
22,1.01,1.03,15.10063,20,2
23,1.01,1.04,24.41824,20,2
24,1.01,1.05,39.52218,16,3
25,1.01,1.06,39.7419,16,3
26,1.02,0.96,1.44464,24,2
27,1.02,0.98,2.26825,22,2
28,1.02,0.99,2.10975,22,2
29,1.02,1.0,2.89285,22,2
30,1.02,1.01,2.98607,22,6
31,1.02,1.02,4.50583,22,2
32,1.02,1.03,11.96628,22,2
33,1.02,1.04,19.0683,22,2
34,1.02,1.05,28.21809,22,3
35,1.02,1.06,28.07903,22,2
36,1.03,0.99,2.20329,22,2
37,1.03,1.0,2.82744,22,2
38,1.03,1.01,2.70815,22,6
39,1.03,1.02,4.51061,20,2
40,1.03,1.03,10.12132,24,2
41,1.03,1.04,16.18579,24,2
42,1.03,1.05,23.38828,24,3
43,1.03,1.06,22.97236,24,4
44,1.04,0.96,1.43108,22,2
45,1.04,0.98,2.04998,24,2
46,1.04,0.99,2.04891,24,2
47,1.04,1.0,2.84061,26,2
48,1.04,1.01,2.62916,26,6
49,1.04,1.02,3.6453,24,3
50,1.04,1.03,7.61263,24,2
51,1.04,1.04,11.54092,24,2
52,1.04,1.05,16.66219,24,3
53,1.04,1.06,15.96284,24,4
54,1.05,0.99,1.94277,28,2
55,1.05,1.0,2.6005,26,2
56,1.05,1.01,2.72566,28,6
57,1.05,1.02,3.41955,26,3
58,1.05,1.03,6.6383,28,2
59,1.05,1.04,10.11499,28,2
60,1.05,1.05,13.88036,28,3
61,1.05,1.06,13.67672,28,4
62,1.06,0.99,1.90809,28,2
63,1.06,1.0,2.35276,28,2
64,1.06,1.01,2.56095,30,6
65,1.06,1.02,2.58771,30,8
66,1.06,1.03,4.84518,30,2
67,1.06,1.04,7.2996,30,2
68,1.06,1.05,10.08465,30,3
69,1.06,1.06,10.10623,30,4
70,1.0,0.96,1.5026,20,2
71,1.0,0.98,2.69045,16,2
72,1.0,0.99,2.34788,14,2
73,1.0,1.0,2.99204,14,2
74,1.0,1.01,3.11168,14,6
75,1.0,1.02,4.78555,14,3
76,1.0,1.03,16.47194,14,2
77,1.0,1.04,26.63185,14,2
78,1.0,1.05,42.78997,14,3
79,1.0,1.06,43.02803,14,3
