,2_y2006,2_y2007,2_y2008,2_y2009,2_y2010,2_y2011,2_y2012,2_y2013,2_y2014,2_y2015,2_y2016,2_y2017,2_y2018,2_y2019,2_y2020,3_y2006,3_y2007,3_y2008,3_y2009,3_y2010,3_y2011,3_y2012,3_y2013,3_y2014,3_y2015,3_y2016,3_y2017,3_y2018,3_y2019,3_y2020,4_y2006,4_y2007,4_y2008,4_y2009,4_y2010,4_y2011,4_y2012,4_y2013,4_y2014,4_y2015,4_y2016,4_y2017,4_y2018,4_y2019,4_y2020,5_y2006,5_y2007,5_y2008,5_y2009,5_y2010,5_y2011,5_y2012,5_y2013,5_y2014,5_y2015,5_y2016,5_y2017,5_y2018,5_y2019,5_y2020,6_y2006,6_y2007,6_y2008,6_y2009,6_y2010,6_y2011,6_y2012,6_y2013,6_y2014,6_y2015,6_y2016,6_y2017,6_y2018,6_y2019,6_y2020,7_y2006,7_y2007,7_y2008,7_y2009,7_y2010,7_y2011,7_y2012,7_y2013,7_y2014,7_y2015,7_y2016,7_y2017,7_y2018,7_y2019,7_y2020,8_y2006,8_y2007,8_y2008,8_y2009,8_y2010,8_y2011,8_y2012,8_y2013,8_y2014,8_y2015,8_y2016,8_y2017,8_y2018,8_y2019,8_y2020,9_y2006,9_y2007,9_y2008,9_y2009,9_y2010,9_y2011,9_y2012,9_y2013,9_y2014,9_y2015,9_y2016,9_y2017,9_y2018,9_y2019,9_y2020,10_y2006,10_y2007,10_y2008,10_y2009,10_y2010,10_y2011,10_y2012,10_y2013,10_y2014,10_y2015,10_y2016,10_y2017,10_y2018,10_y2019,10_y2020,11_y2006,11_y2007,11_y2008,11_y2009,11_y2010,11_y2011,11_y2012,11_y2013,11_y2014,11_y2015,11_y2016,11_y2017,11_y2018,11_y2019,11_y2020
12,1.027518, 1.255936, 2.498141, 2.934175, 3.285316, 3.082413, 3.21004, 3.351766, 3.050496, 3.021819, 3.418572, 3.247724, 3.247724, 3.11889, 3.491451,0.996855, 1.271668, 2.034903, 2.109396, 2.162687, 2.007521, 2.07862, 2.197681, 2.000142, 2.025197, 2.47706, 2.353264, 2.353264, 2.259912, 2.603087,1.015852, 1.171436, 1.555957, 1.669094, 1.819454, 1.703425, 1.728553, 1.855964, 1.676683, 1.689441, 2.059002, 1.930882, 1.930882, 1.855425, 2.131976,1.012635, 1.018663, 1.301604, 1.327503, 1.45539, 1.319246, 1.284825, 1.368082, 1.258372, 1.270161, 1.433182, 1.369674, 1.369674, 1.301797, 1.42952,1.076967, 1.033858, 1.164532, 1.251549, 1.229204, 1.209415, 1.183881, 1.262284, 1.159417, 1.173056, 1.424704, 1.352155, 1.352155, 1.285146, 1.335877,1.091153, 1.178745, 1.345579, 1.448188, 1.55479, 1.473997, 1.481863, 1.521512, 1.43651, 1.462818, 1.672233, 1.544472, 1.544472, 1.529622, 1.570395,1.071655, 1.115934, 1.181055, 1.225519, 1.296757, 1.207565, 1.214009, 1.244579, 1.176017, 1.190525, 1.221283, 1.225212, 1.225212, 1.213432, 1.244206,1.029793, 1.019146, 1.096345, 1.080597, 1.093904, 1.07703, 1.07703, 1.074331, 1.027092, 1.027092, 1.074143, 1.074143, 1.074143, 1.063815, 1.063815,1, 1, 0.94256, 0.94256, 0.94256, 0.94256, 0.94256, 0.94256, 0.924577, 0.924577, 0.909784, 0.909784, 0.909784, 0.909784, 0.909784,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
14,1.026592, 1.133767, 2.186112, 2.430756, 2.730648, 2.758743, 2.86988, 3.113329, 2.816342, 2.739079, 3.188431, 2.992909, 2.992909, 2.90605, 3.403137,0.995959, 1.147966, 1.780731, 1.744774, 1.772736, 1.771911, 1.832697, 1.999616, 1.819741, 1.808993, 2.292733, 2.152139, 2.152139, 2.089682, 2.529017,1.014937, 1.040512, 1.378567, 1.435756, 1.550995, 1.584203, 1.605843, 1.779326, 1.607324, 1.590071, 2.008067, 1.860629, 1.860629, 1.807742, 2.182482,1.011726, 0.904816, 1.153212, 1.140816, 1.273204, 1.26891, 1.234473, 1.356492, 1.247617, 1.23638, 1.445584, 1.385725, 1.385725, 1.331656, 1.536435,1.075996, 0.918311, 1.061081, 1.14601, 1.202839, 1.250815, 1.22309, 1.356237, 1.245617, 1.251088, 1.560858, 1.485882, 1.485882, 1.43533, 1.56762,1.090171, 1.054301, 1.234588, 1.361434, 1.562015, 1.564882, 1.571542, 1.678112, 1.59939, 1.610746, 1.862962, 1.725863, 1.725863, 1.737208, 1.85746,1.07069, 0.99812, 1.083636, 1.079123, 1.22143, 1.200979, 1.20609, 1.28268, 1.223516, 1.226264, 1.272721, 1.276396, 1.276396, 1.284786, 1.327306,1.028866, 0.917937, 1.012959, 0.958178, 1.023636, 1.057981, 1.056844, 1.093602, 1.034415, 1.027457, 1.103789, 1.102997, 1.102997, 1.110248, 1.118624,0.985301, 0.967542, 0.974524, 0.935255, 1.028873, 1.042212, 1.056121, 1.088884, 1.029857, 1.011176, 1.031269, 1.02909, 1.02909, 1.02909, 1.073264,1, 0.974544, 0.986354, 0.938143, 0.989358, 0.989358, 0.981474, 1.011923, 0.966919, 0.966919, 1.008177, 1.003054, 1.003054, 1.003054, 1.001893
16,0.999738, 1.259415, 2.716575, 2.749084, 3.208432, 3.404311, 3.457756, 3.567399, 3.391149, 3.433051, 3.884534, 3.618662, 3.618662, 3.611472, 4.16063,0.969902, 1.27519, 2.204193, 2.01824, 2.130382, 2.236385, 2.258433, 2.343466, 2.241079, 2.335471, 2.79756, 2.606084, 2.606084, 2.600905, 3.096676,0.988387, 1.155831, 1.729166, 1.698115, 1.905798, 2.044413, 2.023361, 2.132172, 2.004577, 2.078862, 2.481276, 2.281649, 2.281649, 2.278515, 2.706232,0.988387, 1.008291, 1.451105, 1.399451, 1.579994, 1.653783, 1.588406, 1.687419, 1.61525, 1.67803, 1.854291, 1.764026, 1.764026, 1.742394, 1.977726,1.051175, 1.023325, 1.33517, 1.407938, 1.516759, 1.656503, 1.599158, 1.686416, 1.595605, 1.667448, 2.012863, 1.901638, 1.901638, 1.888087, 2.028665,1.065023, 1.166995, 1.543091, 1.646979, 1.963179, 2.065609, 2.04798, 2.114206, 2.075826, 2.175142, 2.460145, 2.261803, 2.261803, 2.327043, 2.447771,1.045992, 1.104811, 1.354421, 1.305459, 1.53513, 1.582764, 1.569255, 1.689392, 1.66009, 1.731133, 1.76779, 1.748885, 1.748885, 1.799329, 1.828733,1.005132, 1.016058, 1.266084, 1.159149, 1.27102, 1.354115, 1.335431, 1.398841, 1.355846, 1.394278, 1.473749, 1.452747, 1.452747, 1.494649, 1.48612,0.96998, 1.079204, 1.227413, 1.14012, 1.287347, 1.344191, 1.344782, 1.403521, 1.360258, 1.3563, 1.321336, 1.300687, 1.300687, 1.305619, 1.390677,0.984451, 1.087018, 1.242316, 1.143642, 1.208516, 1.242016, 1.216425, 1.269556, 1.230566, 1.249527, 1.320046, 1.288125, 1.288125, 1.29301, 1.310729
18,1.001731, 1.326535, 3.470325, 3.103528, 3.580793, 3.624555, 3.681452, 3.971654, 3.70285, 3.756276, 4.237478, 3.850318, 3.850318, 3.814111, 4.562164,0.971838, 1.34315, 2.644036, 2.240256, 2.351175, 2.354579, 2.37779, 2.569632, 2.410115, 2.516766, 3.005653, 2.731038, 2.731038, 2.705357, 3.34425,0.990358, 1.197687, 2.085543, 1.895207, 2.114801, 2.164215, 2.141929, 2.350717, 2.18853, 2.274274, 2.706352, 2.427381, 2.427381, 2.406033, 2.966997,0.990358, 1.067523, 1.788225, 1.595835, 1.791382, 1.788759, 1.718049, 1.900827, 1.801818, 1.868213, 2.058244, 1.909869, 1.909869, 1.872432, 2.206629,1.032995, 1.062588, 1.642903, 1.62333, 1.738769, 1.811581, 1.748866, 1.894132, 1.774686, 1.847109, 2.242462, 2.074187, 2.074187, 2.044103, 2.280307,1.046605, 1.211775, 1.898751, 1.938642, 2.297589, 2.306217, 2.286532, 2.424263, 2.357083, 2.469154, 2.761124, 2.536986, 2.536986, 2.590765, 2.829418,1.027901, 1.147202, 1.666588, 1.569047, 1.834511, 1.804392, 1.788991, 1.977997, 1.924768, 2.006566, 2.025904, 2.003029, 2.003029, 2.045489, 2.158435,0.987749, 1.055041, 1.550188, 1.386304, 1.511382, 1.548331, 1.526967, 1.628562, 1.563141, 1.606995, 1.679394, 1.654462, 1.654462, 1.689533, 1.744152,0.953204, 1.121764, 1.504391, 1.364953, 1.532378, 1.538568, 1.539243, 1.616081, 1.527639, 1.522764, 1.46504, 1.446414, 1.446414, 1.44111, 1.59371,0.967425, 1.115803, 1.417308, 1.274443, 1.322708, 1.296815, 1.270095, 1.333498, 1.260669, 1.279518, 1.334903, 1.310059, 1.310059, 1.305255, 1.373756
20,1.014016, 1.365026, 3.665061, 3.185198, 3.887938, 4.198447, 4.193567, 4.644434, 4.351079, 4.680522, 5.702518, 5.195276, 5.195276, 5.265752, 6.070225,0.983756, 1.382121, 2.76575, 2.277264, 2.528481, 2.701359, 2.682703, 2.976232, 2.805008, 3.106093, 3.934301, 3.584341, 3.584341, 3.632965, 4.328143,1.002501, 1.232441, 2.181548, 1.926518, 2.27428, 2.523113, 2.499637, 2.816234, 2.638631, 2.882533, 3.638084, 3.271745, 3.271745, 3.31613, 3.941068,1.002501, 1.098498, 1.870539, 1.622197, 1.909555, 2.067079, 1.987361, 2.257257, 2.146002, 2.339111, 2.733241, 2.55086, 2.55086, 2.557272, 2.904474,1.045659, 1.093418, 1.71853, 1.650144, 1.853467, 2.093447, 2.023002, 2.249298, 2.11368, 2.308847, 2.903921, 2.701527, 2.701527, 2.708317, 2.911766,1.059438, 1.246931, 2.005287, 1.962623, 2.439151, 2.654163, 2.634152, 2.867083, 2.795862, 3.073788, 3.644373, 3.367882, 3.367882, 3.498665, 3.682463,1.040507, 1.180485, 1.760096, 1.588455, 1.947541, 2.07663, 2.060972, 2.339305, 2.283077, 2.497932, 2.673972, 2.659053, 2.659053, 2.76231, 2.809192,0.999861, 1.105236, 1.666702, 1.448445, 1.655941, 1.839058, 1.815504, 1.987783, 1.934116, 2.054461, 2.276395, 2.255558, 2.255558, 2.343147, 2.331221,0.964892, 1.175128, 1.617452, 1.426128, 1.678938, 1.827456, 1.830095, 1.972544, 1.890185, 1.925487, 1.964121, 1.950352, 1.950352, 1.957749, 2.086586,0.979287, 1.168886, 1.523829, 1.331566, 1.43129, 1.52126, 1.491412, 1.6075, 1.524193, 1.594412, 1.723299, 1.700998, 1.700998, 1.707448, 1.731921
22,0.992332, 1.34489, 3.651685, 3.430678, 4.150969, 4.316462, 4.404065, 4.911844, 4.243379, 4.44413, 5.61272, 5.171748, 5.171748, 5.241905, 6.095106,0.962718, 1.361727, 2.755628, 2.452746, 2.837746, 2.919473, 2.961597, 3.308734, 2.875621, 3.100206, 4.186561, 3.857635, 3.857635, 3.909966, 4.698522,0.981066, 1.214253, 2.173568, 2.074967, 2.552446, 2.767068, 2.800214, 3.177055, 2.759827, 2.935318, 4.059738, 3.692551, 3.692551, 3.742642, 4.486512,0.981066, 1.076714, 1.854102, 1.738205, 2.132083, 2.255279, 2.214883, 2.533361, 2.221002, 2.356931, 3.017996, 2.848718, 2.848718, 2.855879, 3.271734,1.0233, 1.071733, 1.703421, 1.725462, 2.019493, 2.228899, 2.200164, 2.463472, 2.134728, 2.270263, 3.09585, 2.922206, 2.922206, 2.929551, 3.176918,1.036781, 1.222199, 2.007506, 2.072701, 2.684189, 2.854126, 2.89346, 3.171455, 2.873618, 3.075849, 3.912171, 3.668244, 3.668244, 3.81069, 4.045645,1.018256, 1.157071, 1.744626, 1.66096, 2.122, 2.210998, 2.241465, 2.562054, 2.305815, 2.431842, 2.792645, 2.817685, 2.817685, 2.927101, 3.00258,0.978478, 1.083315, 1.652053, 1.514565, 1.804292, 1.958071, 1.974517, 2.177079, 1.986909, 2.034438, 2.365455, 2.378086, 2.378086, 2.470432, 2.479162,0.94426, 1.151828, 1.603246, 1.491238, 1.829356, 1.945726, 1.990394, 2.160397, 1.941784, 1.906726, 2.040971, 2.056308, 2.056308, 2.064107, 2.21901,0.958346, 1.145706, 1.510438, 1.39235, 1.55951, 1.619702, 1.622035, 1.760578, 1.565796, 1.601593, 1.816496, 1.819216, 1.819216, 1.826115, 1.868344
24,1.050016, 1.466894, 4.331828, 4.069656, 4.741023, 4.719184, 4.783556, 5.19692, 4.910678, 4.870881, 6.569752, 6.221024, 6.221024, 6.324705, 7.61263,1.018684, 1.484369, 3.195155, 2.843962, 3.168035, 3.123041, 3.14744, 3.425295, 3.252542, 3.297654, 4.755832, 4.503388, 4.503388, 4.578442, 5.695194,1.038093, 1.323606, 2.576851, 2.459959, 2.941849, 3.055911, 3.072347, 3.367367, 3.195973, 3.196681, 4.721686, 4.413417, 4.413417, 4.486969, 5.567829,1.038093, 1.173678, 2.198115, 2.060713, 2.457357, 2.490698, 2.444952, 2.724085, 2.571513, 2.566318, 3.509432, 3.404212, 3.404212, 3.423209, 4.059513,1.082786, 1.168252, 2.019481, 2.045615, 2.327604, 2.461582, 2.428726, 2.648959, 2.47165, 2.471977, 3.330426, 3.230575, 3.230575, 3.248604, 3.646734,1.106339, 1.354822, 2.420277, 2.49888, 3.227932, 3.28883, 3.33261, 3.558197, 3.471497, 3.5192, 4.42231, 4.261265, 4.261265, 4.44028, 4.714051,1.086569, 1.282627, 2.103337, 2.00247, 2.551844, 2.547734, 2.581648, 2.874471, 2.785548, 2.78235, 3.15678, 3.269662, 3.269662, 3.40702, 3.494873,1.044121, 1.179585, 1.956434, 1.793613, 2.131327, 2.2163, 2.233882, 2.420086, 2.378214, 2.306258, 2.649294, 2.734168, 2.734168, 2.849029, 2.859097,1.007608, 1.254188, 1.898638, 1.765991, 2.160936, 2.202329, 2.251845, 2.401543, 2.324207, 2.161488, 2.285879, 2.355814, 2.355814, 2.37198, 2.549988,1.02264, 1.247526, 1.788735, 1.648889, 1.835147, 1.826311, 1.828096, 1.949625, 1.867014, 1.808651, 2.026694, 2.076224, 2.076224, 2.090472, 2.138814
26,1.035043, 1.390169, 4.092378, 3.836071, 4.536389, 4.490165, 4.40273, 4.945214, 4.886763, 5.013671, 6.612923, 5.883596, 5.867902, 5.55198, 7.08284,1.004155, 1.406733, 3.018538, 2.680729, 3.031291, 2.971483, 2.895195, 3.25751, 3.234835, 3.392368, 4.784323, 4.256669, 4.245315, 4.016751, 5.295787,1.023291, 1.270146, 2.465017, 2.347917, 2.850262, 2.942417, 2.859954, 3.240758, 3.216621, 3.327858, 4.588778, 4.030056, 4.019307, 3.802911, 5.001659,1.023291, 1.126272, 2.102704, 1.966845, 2.380835, 2.424878, 2.340468, 2.696007, 2.661523, 2.747388, 3.50737, 3.196673, 3.188146, 2.983607, 3.750136,1.067345, 1.121061, 1.931825, 1.940197, 2.240987, 2.381508, 2.329252, 2.626521, 2.562911, 2.6513, 3.334639, 3.039243, 3.031136, 2.83667, 3.375058,1.084201, 1.302407, 2.319342, 2.37431, 3.113338, 3.187503, 3.201798, 3.534327, 3.606069, 3.7812, 4.646555, 4.234942, 4.223646, 4.095868, 4.608877,1.064823, 1.232998, 2.015604, 1.942492, 2.512796, 2.605634, 2.617318, 3.012898, 3.05336, 3.154623, 3.500063, 3.428954, 3.419808, 3.31635, 3.605641,1.02323, 1.133954, 1.874849, 1.800899, 2.172298, 2.346137, 2.344148, 2.625564, 2.698259, 2.706507, 3.108215, 3.063873, 3.055701, 2.963258, 3.151856,1.016865, 1.241583, 1.873657, 1.825984, 2.268083, 2.400796, 2.43339, 2.683064, 2.715545, 2.612182, 2.761747, 2.71854, 2.711289, 2.586979, 2.947712,1.016865, 1.216838, 1.739262, 1.679849, 1.897838, 1.961639, 1.946453, 2.146166, 2.149318, 2.153654, 2.412623, 2.360697, 2.354401, 2.246454, 2.436079
28,1.051688, 1.398732, 3.841511, 3.600913, 4.084747, 4.138018, 4.057438, 4.548082, 4.436693, 4.590229, 5.660487, 4.949996, 4.900539, 4.685267, 5.826689,1.025498, 1.422609, 2.929101, 2.601303, 2.821597, 2.83084, 2.758166, 3.091693, 3.030802, 3.205144, 4.226171, 3.695713, 3.658787, 3.498061, 4.495844,1.04504, 1.284474, 2.391976, 2.278345, 2.653078, 2.803136, 2.724576, 3.075775, 3.013716, 3.14418, 4.246033, 3.665211, 3.628591, 3.469192, 4.447887,1.04504, 1.138979, 2.040406, 1.908571, 2.216138, 2.310105, 2.22969, 2.558771, 2.493649, 2.595769, 3.245417, 2.89147, 2.86258, 2.706989, 3.316806,1.090033, 1.133716, 1.874597, 1.882716, 2.101836, 2.309579, 2.258904, 2.537644, 2.444436, 2.550024, 3.141068, 2.798503, 2.770542, 2.619953, 3.038742,1.107246, 1.317103, 2.250621, 2.303961, 2.920008, 3.091215, 3.10508, 3.414712, 3.439351, 3.63674, 4.178259, 3.722575, 3.685382, 3.611324, 3.961352,1.087458, 1.246913, 1.955894, 1.884945, 2.340786, 2.493863, 2.505045, 2.884487, 2.885741, 3.006548, 3.118735, 2.986733, 2.956892, 2.897473, 3.070929,1.044978, 1.146744, 1.819291, 1.747535, 2.023583, 2.245485, 2.243582, 2.513651, 2.52068, 2.549663, 2.737579, 2.637899, 2.611543, 2.559063, 2.653421,1.038478, 1.255593, 1.81814, 1.771878, 2.112819, 2.297808, 2.329005, 2.568709, 2.536831, 2.460813, 2.43243, 2.340585, 2.3172, 2.234117, 2.481565,1.038478, 1.230566, 1.687723, 1.630068, 1.810906, 1.929915, 1.914971, 2.112063, 2.076404, 2.098108, 2.19747, 2.10187, 2.08087, 2.00626, 2.120844
30,1.051688, 1.455131, 4.000288, 3.718422, 3.804687, 4.055091, 4.028776, 4.476603, 4.566173, 4.964307, 6.204863, 5.852603, 5.791847, 5.448362, 6.7727,1.025498, 1.479967, 3.050162, 2.686184, 2.542437, 2.69557, 2.661142, 2.956945, 3.016108, 3.351731, 4.479435, 4.225128, 4.181265, 3.933295, 5.052991,1.04504, 1.340442, 2.498629, 2.360051, 2.484987, 2.77458, 2.732527, 3.057876, 3.117529, 3.417807, 4.678186, 4.355708, 4.310491, 4.054858, 5.196483,1.04504, 1.188612, 2.131392, 1.97702, 2.203601, 2.416701, 2.363458, 2.644858, 2.681938, 2.93366, 3.717654, 3.572584, 3.535496, 3.289559, 4.028836,1.090033, 1.183112, 1.958172, 1.95023, 2.08993, 2.357847, 2.336648, 2.602105, 2.608046, 2.858987, 3.569438, 3.430154, 3.394545, 3.158413, 3.66165,1.107246, 1.323888, 2.264422, 2.232592, 2.5959, 2.891265, 2.942686, 3.155685, 3.307192, 3.674741, 4.279215, 4.112233, 4.069544, 3.92363, 4.302028,1.087458, 1.253335, 1.967878, 1.826547, 2.080967, 2.332549, 2.374032, 2.665681, 2.774854, 3.020055, 3.175264, 3.019612, 2.988265, 2.881121, 3.052244,1.044978, 1.152653, 1.830445, 1.693395, 1.798975, 2.100243, 2.096686, 2.297904, 2.397655, 2.533477, 2.757117, 2.612539, 2.585419, 2.492719, 2.583488,1.038478, 1.258127, 1.823589, 1.711641, 1.872458, 2.152005, 2.179375, 2.35132, 2.430712, 2.463121, 2.467754, 2.335083, 2.310843, 2.227988, 2.473666,1.038478, 1.233048, 1.692777, 1.574647, 1.604886, 1.807451, 1.791937, 1.933316, 1.989545, 2.094881, 2.223865, 2.087404, 2.065734, 1.991667, 2.104491
