,名称,价格范围,均价,涨跌,单位,日期
0,电解钴(≥99.8%/金、赞),26.3-27.7,27,+0.40,万元/吨,12-25
1,钴粉(-200目/国产),28-29,28.5,+0.10,万元/吨,12-25
2,"钴中间品(25%-35%,CIF中国)",12.20-12.70,12.45,+0.05,美元/磅,12-25
3,硫酸钴(≥20.5%/国产),5.5-5.8,5.65,+0.07,万元/吨,12-25
4,氯化钴(≥24.2%/国产),6.45-6.8,6.625,+0.07,万元/吨,12-25
5,四氧化三钴(≥72.8%/国产),20.5-21.5,21,+0.10,万元/吨,12-25
6,氧化钴(≥72%/国产),20.2-21.2,20.7,+0.10,万元/吨,12-25
7,碳酸钴(≥46%/国产),12.5-13.3,12.9,+0.15,万元/吨,12-25
8,"金属锂(≥99%,工、电/国产)",46-49,47.5,0,万元/吨,12-25
9,"锂辉石精矿(6%,CIF中国)",400-435,417.50,+12.50,美元/吨,12-25
10,碳酸锂(99.2%工业零级/国产),4.4-4.7,4.55,0,万元/吨,12-25
11,碳酸锂(99.5%电池级/国产),4.9-5.1,5,+0.07,万元/吨,12-25
12,氢氧化锂(56.5% 工业级/国产),4.1-4.3,4.2,0,万元/吨,12-25
13,氢氧化锂(56.5% 电池级粗颗粒/国产),4.6-5.1,4.85,0,万元/吨,12-25
14,三元前驱体(523/动力),8.3-8.55,8.425,+0.20,万元/吨,12-25
15,三元前驱体(523/单晶),8.65-8.9,8.775,+0.20,万元/吨,12-25
16,三元前驱体(622/动力),9.1-9.8,9.45,+0.25,万元/吨,12-25
17,三元前驱体(811/动力),10.25-10.8,10.525,+0.30,万元/吨,12-25
18,三元材料(523/动力),11.45-12.35,11.9,0,万元/吨,12-25
19,三元材料(622/动力),13.7-14.55,14.125,0,万元/吨,12-25
20,三元材料（811/动力）,15.8-17,16.4,0,万元/吨,12-25
21,磷酸铁锂(动力型),3.4-3.75,3.575,0,万元/吨,12-25
22,磷酸铁锂（储能型）,2.9-3,2.95,0,万元/吨,12-25
23,钴酸锂(60%、4.35V/国产),22-23,22.5,+0.20,万元/吨,12-25
24,锰酸锂(容量型),2.2-2.8,2.5,0,万元/吨,12-25
25,锰酸锂(动力型),3.3-3.55,3.425,0,万元/吨,12-25
26,人造石墨（高端）,6.5-7,6.75,0,万元/吨,12-25
27,人造石墨（中端）,5.7-6.2,5.95,0,万元/吨,12-25
28,天然石墨（高端）,4.8-6,5.4,0,万元/吨,12-25
29,天然石墨（中端）,3-4,3.5,0,万元/吨,12-25
30,湿法基膜（5μm）,2.50-3.30,2.90,0,元/平方米,12-25
31,湿法基膜（7μm）,1.80-2.20,2,0,元/平方米,12-25
32,湿法基膜（9μm）,1.20-1.50,1.35,0,元/平方米,12-25
33,干法基膜（16μm）,0.90-1,0.95,0,元/平方米,12-25
34,湿法涂覆基膜（5μm+2μm）,3-3.80,3.40,0,元/平方米,12-25
35,湿法涂覆基膜（7μm+2μm）,2.20-2.60,2.40,0,元/平方米,12-25
36,湿法涂覆基膜（9μm+3μm）,1.80-2.50,2.15,0,元/平方米,12-25
37,电解液（三元动力用）,4.2-5.2,4.7,0,万元/吨,12-25
38,电解液（磷酸铁锂用）,3.5-4.1,3.8,0,万元/吨,12-25
39,电解液（钴酸锂用）,5.3-6.3,5.8,0,万元/吨,12-25
40,电解液（锰酸锂用）,1.9-2.9,2.4,0,万元/吨,12-25
41,电池级硫酸镍,3-3.05,3.025,0,万元/吨,12-25
42,电池级硫酸锰（出厂价）,0.63-0.65,0.64,0,万元/吨,12-25
