,0,1,2,3,4,5,6
0,SMM 1#电解铜,58150-58330,58240,+100,元/吨,12-25,
1,"SMM 1#电解铜升贴水
                                            
                                            

对沪期铜当月合约",贴50-升30,贴10,-45,-,11:00,
2,平水铜,58150-58300,58225,+100,元/吨,12-25,
3,"平水铜升贴水
                                            
                                            

对沪期铜当月合约",贴50-升10,贴20,-40,-,11:00,
4,升水铜,58170-58330,58250,+95,元/吨,12-25,
5,"升水铜升贴水
                                            
                                            

对沪期铜当月合约",贴30-升30,平水,-50,-,11:00,
6,贵溪铜,58180-58330,58255,+85,元/吨,12-25,
7,"贵溪铜升贴水
                                            
                                            

对沪期铜当月合约",贴20-升30,升5,-60,-,11:00,
8,湿法铜,58130-58280,58205,+125,元/吨,12-25,
9,"湿法铜升贴水
                                            
                                            

对沪期铜当月合约",贴70-贴10,贴40,-15,-,11:00,
10,SMM 广东1#电解铜,58120-58260,58190,+55,元/吨,12-25,
