,期货累计收益率,策略累计收益率,策略累计收益率,期货胜率,策略1胜率,策略2胜率,期货最大回撤,策略1最大回撤,策略2最大回撤
0,0.989163,1.009427,1.029771,0.486926,0.496809,0.508834,0.036885,0.017473,0.020263
0,0.989163,0.994829,1.00047,0.486926,0.488031,0.491166,0.036885,0.0325,0.02878
0,0.989163,1.014696,1.040818,0.486926,0.498457,0.510247,0.036885,0.021849,0.016583
0,0.989163,0.971994,0.95496,0.486926,0.473214,0.470671,0.036885,0.035393,0.064231
0,0.989163,1.001454,1.013262,0.486926,0.502326,0.513781,0.036885,0.015149,0.023382
0,0.989163,1.009052,1.029169,0.486926,0.489886,0.49682,0.036885,0.014042,0.013782
0,0.989163,0.997422,1.005462,0.486926,0.492239,0.50318,0.036885,0.024365,0.026634
0,0.989163,0.975396,0.961458,0.486926,0.467406,0.479859,0.036885,0.038722,0.066584
0,0.989163,0.9916,0.993731,0.486926,0.493166,0.504594,0.036885,0.023466,0.029122
0,0.989163,0.999954,1.010562,0.486926,0.486938,0.495406,0.036885,0.017922,0.024023
0,0.989163,0.995694,1.002041,0.486926,0.486989,0.493286,0.036885,0.023653,0.025065
0,0.989163,1.013713,1.038636,0.486926,0.499018,0.511661,0.036885,0.015098,0.020421
0,0.989163,1.018007,1.047299,0.486926,0.510324,0.522968,0.036885,0.026072,0.018652
0,0.989163,1.002885,1.016158,0.486926,0.482456,0.50742,0.036885,0.010003,0.031339
0,0.989163,1.020216,1.051734,0.486926,0.515385,0.524382,0.036885,0.007383,0.016173
0,0.989163,1.009713,1.030082,0.486926,0.518207,0.522261,0.036885,0.014774,0.015315
0,0.989163,0.987356,0.985164,0.486926,0.488562,0.50318,0.036885,0.031674,0.033598
0,0.989163,0.986452,0.983699,0.486926,0.482759,0.481272,0.036885,0.035057,0.036687
0,0.989163,0.985727,0.982195,0.486926,0.488163,0.49258,0.036885,0.031696,0.028305
0,0.989163,0.976357,0.963375,0.486926,0.471653,0.479859,0.036885,0.026599,0.038934
0,0.989163,0.972838,0.956395,0.486926,0.470109,0.481979,0.036885,0.031062,0.045226
0,0.989163,1.001742,1.014171,0.486926,0.491545,0.502473,0.036885,0.021889,0.035806
0,0.989163,0.995846,1.00246,0.486926,0.487967,0.49258,0.036885,0.027312,0.018813
0,0.989163,1.013636,1.038169,0.486926,0.509843,0.520141,0.036885,0.011755,0.023791
0,0.989163,0.975118,0.961086,0.486926,0.481949,0.484806,0.036885,0.030528,0.041418
0,0.989163,0.99811,1.006596,0.486926,0.490099,0.50742,0.036885,0.020374,0.027928
0,0.989163,0.975266,0.961392,0.486926,0.476276,0.475618,0.036885,0.038051,0.054649
0,0.989163,1.003763,1.01814,0.486926,0.504367,0.515901,0.036885,0.021692,0.027769
0,0.989163,1.007859,1.026485,0.486926,0.493314,0.506714,0.036885,0.016609,0.020621
0,0.989163,0.974909,0.960634,0.486926,0.475391,0.481979,0.036885,0.035989,0.056119
0,0.989163,0.980244,0.97119,0.486926,0.472103,0.476325,0.036885,0.033802,0.04062
